# learning rate : 0.002
# batch size : 64
# max_iteration : 200000
# learning rate : 0.002
# batch size : 64
# max_iteration : 200000
[i] iter = 100, loss = 1.9317, x_loss = 1.8560, l2_reg_loss = 0.0757, accuracy = 14.28, train_time = 11sec
[i] iter = 200, loss = 1.7375, x_loss = 1.6610, l2_reg_loss = 0.0764, accuracy = 21.81, train_time = 7sec
[i] iter = 300, loss = 1.5906, x_loss = 1.5135, l2_reg_loss = 0.0771, accuracy = 28.66, train_time = 7sec
[i] iter = 400, loss = 1.4708, x_loss = 1.3923, l2_reg_loss = 0.0785, accuracy = 33.44, train_time = 7sec
[i] iter = 500, loss = 1.3686, x_loss = 1.2881, l2_reg_loss = 0.0805, accuracy = 37.89, train_time = 7sec
[i] iter = 600, loss = 1.3096, x_loss = 1.2266, l2_reg_loss = 0.0830, accuracy = 42.36, train_time = 7sec
[i] iter = 700, loss = 1.2819, x_loss = 1.1976, l2_reg_loss = 0.0843, accuracy = 46.39, train_time = 7sec
[i] iter = 800, loss = 1.2141, x_loss = 1.1281, l2_reg_loss = 0.0860, accuracy = 50.62, train_time = 7sec
[i] iter = 900, loss = 1.2095, x_loss = 1.1215, l2_reg_loss = 0.0880, accuracy = 53.22, train_time = 7sec
[i] iter = 1000, loss = 1.1708, x_loss = 1.0807, l2_reg_loss = 0.0901, accuracy = 56.77, train_time = 7sec
[i] iter = 1100, loss = 1.1174, x_loss = 1.0256, l2_reg_loss = 0.0919, accuracy = 59.06, train_time = 7sec
[i] iter = 1200, loss = 1.1038, x_loss = 1.0100, l2_reg_loss = 0.0939, accuracy = 60.91, train_time = 7sec
[i] iter = 1300, loss = 1.0593, x_loss = 0.9635, l2_reg_loss = 0.0958, accuracy = 62.97, train_time = 7sec
[i] iter = 1400, loss = 1.0415, x_loss = 0.9436, l2_reg_loss = 0.0979, accuracy = 64.03, train_time = 7sec
[i] iter = 1500, loss = 1.0223, x_loss = 0.9227, l2_reg_loss = 0.0995, accuracy = 64.67, train_time = 7sec
[i] iter = 1600, loss = 0.9909, x_loss = 0.8893, l2_reg_loss = 0.1016, accuracy = 65.47, train_time = 7sec
[i] iter = 1700, loss = 0.9735, x_loss = 0.8699, l2_reg_loss = 0.1036, accuracy = 66.22, train_time = 7sec
[i] iter = 1800, loss = 0.9511, x_loss = 0.8452, l2_reg_loss = 0.1059, accuracy = 68.11, train_time = 7sec
[i] iter = 1900, loss = 0.9495, x_loss = 0.8416, l2_reg_loss = 0.1079, accuracy = 70.00, train_time = 7sec
[i] iter = 2000, loss = 0.9259, x_loss = 0.8162, l2_reg_loss = 0.1097, accuracy = 69.92, train_time = 7sec
[i] iter = 2100, loss = 0.9145, x_loss = 0.8032, l2_reg_loss = 0.1113, accuracy = 70.14, train_time = 7sec
[i] iter = 2200, loss = 0.8896, x_loss = 0.7760, l2_reg_loss = 0.1136, accuracy = 71.73, train_time = 7sec
